,coursetext
2920,"HORT 4040 International Horticulture (3)
Prereq.: HORT 2050 or equivalent. This course is part of ACCEPtS. This course will provide an overview of the horticulture industry worldwide. Export, marketing and international trade issues will be covered in a global horticultural context."
2921,"HORT 4055 Temperature Stress Physiology (3)
Prereq.: HORT 2860 or equivalent. This course is part of ACCEPtS. Principles of plant physiology and biochemistry as affected by abiotic stress with a focus on temperature. Basic principles of plant physiology, thermodynamics, temperature, and its effects on the growth and development of horticultural plants including specialty crops, ornamentals, and turfgrasses. Mechanisms of plant response to heat, chilling, and freezing stress including injury, acclimation, protection, and resistance."
2922,"HORT 4060 Plant Growth and Development (3)
Prereq.: HORT 2860 or equivalent. This course is part of ACCEPtS. Structure of plant developmental processes; how environmental factors interact to affect and control plant growth and development and how production practices are used to regulate, control, and increase or improve crop production. Topics include embryogenesis, structure of the shoot apex, organogenesis of the leaf and shoot system, reproductive development, fruit development, dormancy, influence of light on growth, and tropisms."
2923,"HORT 4061 Advanced Plant Propagation (4)
Prereq.: HORT 2061 and BIOL 1202 or permission of the instructor. 3 hrs. lecture; 3 hrs. lab. Advanced sexual and asexual propagation techniques used for propagation of various horticultural and agronomic plant species."
2924,"HORT 4064 Principles of Plant Breeding (4)
See AGRO 4064."
2925,"HORT 4071 Nursery Management (3)
Prereq.: BIOL 3060 or equivalent. Required field trips. 2 hrs. lecture; 2 hrs. lab. Principles and practices involved in commercial production, management and marketing of nursery crops."
2926,"HORT 4072 Sustainable Ornamental Production (3)
Prereq.: HORT 2050 and HORT 2061. This course is part of ACCEPtS. This course addresses a variety of topics including, sustainable practices in locating a nursery, nursery layout, plant nutrition, plant water relations and irrigation needs, shipping and managing people and resources to produce the crop."
2927,"HORT 4083 Principles and Practices in Olericulture (4)
Prereq.: AGRO 2051 and HORT 2050. Required field trips. 3 hrs. lecture; 2 hrs. lab. Review of U.S. commercial vegetable industry; seed handling, field microclimate modification, transplant handling, stand establishment, influence of soil chemical and physical properties and greenhouse vegetable production."
2928,"HORT 4085 Principles and Practices in Fruit and Nut Production (4)
Prereq.: HORT 2050 or equivalent. Required field trips. 3 hrs. lecture; 2 hrs. lab. Physiological principles involved in growing pomological crops; overview of state, U.S., and worldwide fruit and nut industry; marketing and production strategies."
2929,"HORT 4091 Advanced Turfgrass Management (3)
3 hrs. lecture. Physiology and cultural management of turfgrass in the environment. "
2930,"HORT 4096 Postharvest Physiology (4)
Prereq.: PLHL 3060. 3 hrs. lecture; 2 hrs. lab. Physiological changes associated with storage and handling of fruits and vegetables; current practices used in extending shelf-life; basic and applied laboratory analysis techniques."
2931,"HORT 4099 Horticulture Capstone (2)
Prereq.: 60 hours in the major field. 2 hrs. lecture. Develop critical thinking, oral, and written skills in applied plant sciences. "
2932,"HORT 4545 Sustainable Agriculture (3)
Also offered as AGEC 4545. 3 hrs. lecture. The social, economic and environmental dimensions of agriculture and the emerging global challenges involved with climate change, food security, resource depletion, and various recent movements within agriculture."
2933,"HORT 7010 Teaching Practicum (1)
See AGRO 7010."
2934,"HORT 7071 Advanced Plant Genetics (3)
See also AGRO 7071. Prereq.: ANSC 2072 or equivalent.
Theory and practical application of cytogenetics in plant improvement, extrachromosomal inheritance, and gene expression."
2935,"HORT 7074 Quantitative Genetics in Plant Improvement (3)
See AGRO 7074."
2936,"HORT 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
2937,"HORT 8900 Research Problems in Horticulture (3)
Prereq.: consent of department head. Pass-fail grading. May be taken for a max. of 6 hrs. of credit when topics vary. Students minoring in horticulture may take this course only once."
2938,"HORT 9000 Dissertation Research (1-12 per sem.)
“S”/”U”grading."
2939,"HSE 1000 Seminar in Human Sciences and Education (1)
Critical discussions of topics related to human sciences and education. Overview of historical, professional, and philosophical foundations related to the field."
2940,"HSS 1000 Introduction to Research (1)
Prereq.: Only for first year students pursuing a major in the College of Humanities & Social Sciences. Introduction to research topics and approaches in the humanities and social sciences. Students will be exposed to research through readings, databases and attendance at on-campus research talks."
2941,"HSS 1001 Introduction to Career Pathways in the Humanities and Social Sciences (1)
Introduction to tools and skills required to succeed in post-graduate careers in the humanities and social sciences"
2942,"HSS 2000 Research Methodologies in the Humanities and Social Sciences (3)
Coverage of a variety of specific methodologies in the humanities and social sciences; methods applied to existing data sets."
2943,"HSS 2001 Professional Development in the Humanities and Social Sciences (3)
Benefits of the skills and knowledge you acquire in the humanities and social sciences."
2944,"HSS 3000 Applying Research to a Real World Problem in HSS (3)
Topics vary. Topic is explored through background readings in both the humanities and social sciences. Independent research project completed using a humanities or social sciences approach."
2945,"ID 1051 Introduction to Interior Design (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Contemporary practice of interior design as a profession; responsibilities of the interior designer."
2946,"ID 1711 Design Foundation I (3)
Prereq.: controlled admission to program in interior design at first year entry level or permission of department. 6 hrs. studio. Basic design problems with an emphasis on two-dimensional principles and elements; development of basic skills in interior design drawing and modeling."
2947,"ID 1712 Design Foundation II (3)
Prereq.: controlled admission to program in interior design at first year entry level or permission of department. 6 hr. studio. Basic design problems with an emphasis on three-dimensional principles and form; development of skills in interior design drawing and modeling. "
2948,"ID 1780 Interior Design Technical Drawing (3)
Prereq.: controlled admission to program in interior design at first year entry or permission of department. 1 hr. lecture; 4 hrs. studio. Introduction to the graphic tools, techniques and conventions designers use to communicate architectural ideas; an immersion in the graphic language of drawing."
2949,"ID 2650 HONORS: Interior Design Studio I (6)
Prereq.: admission to professional program in interior design or permission of department. Same as ID 2750, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 2750. 12 hrs. studio."
2950,"ID 2651 HONORS: Interior Design Studio II (6)
Same as ID 2751, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 2751. Prereq.: ID 2750 or ID 2650 or equivalent. Required field trip. Students are responsible for paying travel expenses associated with the course. 12 hrs. studio."
2951,"ID 2750 Interior Design Studio I (6)
Prereq.: admission to professional program in interior design or permission of department. An Honors course, ID 2650, is also available. Credit will not be given for this course and ID 2650. 12 hrs. studio. Basic design problems in the built environment; emphasis on design process, form and principles of spatial organization."
2952,"ID 2751 Interior Design Studio II (6)
Prereq.: ID 2750 or ID 2650 or equivalent. An Honors course, ID 2651, is also available. Credit will not be given for this course and ID 2651. Required field trip. Students are responsible for paying travel expenses associated with the course.
  12 hrs. studio. Exploration and analysis of design decisions related to interior space; emphasis on color theory application and interior construction."
2953,"ID 2770 Color and Illumination I (3)
Prereq.: sophomore standing in the major; nonmajors by consent of instructor only. 1 hr. lecture; 4 hrs. studio. Nature, theory and art of color and light applied to two- and three-dimensional basic design projects."
2954,"ID 2774 Interior Construction and Systems (3)
Prereq.: admission to professional program. Building systems and construction methods; code requirements for interiors."
2955,"ID 2775 Interior Materials, Finishes and Furnishings (3)
Prereq.: admission to professional program in interior design or consent of instructor. Types and sources of materials, finishes and furnishings used in interior spaces."
2956,"ID 2776 Interior Design Human Factors (3)
Prereq.: admission to professional program in interior design or consent of instructor. Human interaction in the built environment; theories; principles and methods for optimizing human wellbeing and performance."
2957,"ID 2781 Interior Design Graphics (3)
Prereq.: admission to professional program. 6 hrs. studio. Graphic representation methods used to illustrate and investigate form, spatial order and the design process."
2958,"ID 2785 Computer Visualization (3)
Prereq.: admission to professional program or consent of instructor. 1 hr. lecture; 4 hrs. lab. Computer drafting and three-dimensional modeling for spatial designers."
2959,"ID 3652 HONORS: Interior Design Studio III (6)
Same as ID 3752, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 3752. Prereq.: ID 2751 or ID 2651 or equivalent. Required field trip. Students are responsible for paying travel expenses associated with the course.  12 hrs. studio."
2960,"ID 3653 HONORS: Interior Design Studio IV (6)
Prereq.: ID 3752 or ID 3652 or equivalent. 12 hrs. studio. Same as ID 3753, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 3753."
2961,"ID 3752 Interior Design Studio III (6)
Prereq.: ID 2751 or ID 2651 or equivalent. An Honors course, ID 3652, is also available. Credit will not be given for this course and ID 3652. Required field trip. Students are responsible for paying travel expenses associated with the course. 12 hrs. studio. Formulation of design concept/image; design implications of function, space and scale; emphasis on human factors for design, and interior materials, finishes and furnishings."
2962,"ID 3753 Interior Design Studio IV (6)
Prereq.: ID 3752 or ID 3652 or equivalent. An Honors course, ID 3653, is also available. Credit will not be given for this course and ID 3653. 12 hrs. studio. Advanced application of the design process; development of comprehensive solutions to complex interior design problems, emphasis on design for health and wellbeing."
2963,"ID 3759 Special Studies in Interior Design (1-6)
Prereq.: consent of instructor. May be taken for a max. of 6 sem. hrs. of credit. Advanced studio work in predetermined areas of specialization."
2964,"ID 3760 Career Development (1)
Prereq.: admission to the professional program in interior design or consent of instructor. Fundamentals of the interior design profession; career preparation, planning, and development. "
2965,"ID 3761 Interior Design Internship (3)
Prereq.: completion of all 2000-level interior design courses and consent of instructor. Pass-fail grading. At least 20 hours of work per week (35 hours per week in summer session) supervised by an interior design faculty member and a professional designer in an approved firm."
2966,"ID 3765 Field Studies in Interior Design (1-6)
Prereq.: Selective admission to professional program in interior design at the sophomore year or permission of instructor. Intensive travel experiences in a variety of locales; participation in local, national and/or international studies with an emphasis on the built environment."
2967,"ID 3770 Color and Illumination II (3)
Prereq.: junior standing in major; nonmajors by consent of instructor only. 1 hr. lecture; 4 hrs. studio. Quantitative and qualitative aspects of color/light; application to interior design."
2968,"ID 3777 Design for Health and Wellbeing (3)
Prereq.: admission to professional program in interior design or consent of instructor. Exploration of indoor environmental quality principles, processes, and practices to promote human health and wellbeing in the interior environment."
2969,"ID 3782 Interior Design Construction Documents (3)
Prereq.: ID 2751 or equivalent. 1 hr. lecture; 4 hrs. studio. Development of construction documents for interior projects; design and documentation of interior architectural details."
2970,"ID 4555 Interior Design Studio (4)
Prereq.: ID 3753 or equivalent and consent of department. 8 hrs. studio. Special topics studio developed around faculty expertise or opportunities in the profession."
2971,"ID 4620 HONORS: Seminar in Interior Design (3)
Prereq.: ID 3752 or ID 3652 or equivalent. Same as ID 4720, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 4720."
2972,"ID 4654 HONORS: Interior Design Studio V (6)
Prereq.: ID 3753 or ID 3653 or equivalent. 12 hrs. studio. Same as ID 4754, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 4754."
2973,"ID 4655 HONORS: Interior Design Studio VI (4)
Prereq.: ID 4754 or ID 4654 or equivalent. Concurrent enrollment in ID 4756. 8 hrs. studio. Same as ID 4755, with special emphasis for qualified Honors students. Credit will not be given for this course and ID 4755."
2974,"ID 4720 Seminar in Interior Design (3)
Prereq.: ID 3752 or ID 3652 or equivalent. An Honors course, ID 4620, is also available. Credit will not be given for this course and ID 4620.  Explore contemporary issues in interior design and related topics; develop a capstone design proposal to be completed in ID 4754 or ID 4654. "
2975,"ID 4741 History of Interior Design (3)
Development of interior design; decoration and furnishings throughout history; examining design as an expression of cultural values and its social, industrial and technological influences."
2976,"ID 4742 Interior Design Contemporary Issues and Theory (3)
Research, discussions and presentations related to the contemporary issues in interior design."
2977,"ID 4751 Interior Component Design (3)
Prereq.: ID 2751 or equivalent. 1 hr. lecture; 4 hrs. studio. Design, materials and construction techniques of interior components; scale, model and computer-simulated design prototypes."
2978,"ID 4754 Interior Design Studio V (6)
Prereq.: ID 3753 or ID 3652 or equivalent. An Honors course, ID 4654, is also available. Credit will not be given for this course ID 4654. 12 hrs. studio. Design synthesis in a comprehensive capstone project."
2979,"ID 4755 Interior Design Studio VI (4)
Prereq.: ID 4754 or equivalent. Concurrent enrollment in ID 4756. An Honors course, ID 4655, is also available. Credit will not be given for this course and ID 4655. 8 hrs. studio. Design synthesis in a comprehensive capstone project."
2980,"ID 4756 Independent Study Project (3)
Prereq.: ID 4720. Concurrent enrollment in ID 4755. 6 hrs. studio. Execution of a project selected by the advanced student with guidance from an advisory committee."
2981,"ID 4758 Advanced Studies in Interior Design (1-6)
Prereq.: consent of instructor. May be taken for a max. of 9 hrs. of credit when topics vary. Advanced studio work in a predetermined area of specialization at upper level status."
2982,"ID 4761 Professional Practice (3)
Prereq.: senior standing in the major or consent of instructor. Entering the profession; interior design business practices; ethics and project management."
2983,"ID 4765 Interior Design Professional Residency (6)
Prereq.: completion of all 2000-level interior design courses and consent of instructor. Pass-fail grading. At least 360 hours of work per semester (or semester and summer session) supervised by an interior design faculty member and a professional designer in an approved firm."
2984,"ID 4772 Sustainable Design Practice (3)
Credit will not be given for this course and CM 4302. Prereq.: consent of department. Introduction to high performance green building assessment systems with emphasis on interior design, construction, and operations."
2985,"ID 4773 Principles of Sustainability (3)
Prereq.: consent of department. The principles, theory, and application of sustainability to advance environmentally responsible interior environments; introduction to natural systems, interior environmental quality, systems, ethics, and stewardship."
2986,"ID 4786 Advanced Computer Visualization (3)
Prereq.: admission to professional program or permission of instructor. 1 hr. lecture; 4 hrs. lab. Advanced topics in computer drafting and three-dimensional modeling for spatial designers."
2987,"IE 1002 Industrial Engineering Fundamentals (3)
Introduction to industrial engineering design process and concepts."
2988,"IE 2060 Computing in Industrial Engineering (3)
Prereq.: eligibility to take MATH 1550 or equivalent and credit or registration in IE 1002. 2 hrs. lecture; 3 hrs. lab. Introduction to object-oriented programming, information systems, and data analysis; use of Microsoft office tools in industrial engineering."
2989,"IE 2400 Methods and Systems Engineering (3)
Prereq.: Credit or registration in IE 1002. 2 hrs. lecture; 3 hrs. lab. System and work design concepts; time studies; performance rating and allowances; standard and pre-determined times; work methods improvement; design of manual work, equipment and tools and work environments; line balancing; manpower determinations, job analysis and incentives; business systems analysis, lean and value analysis."
2990,"IE 3201 Principles of Engineering Economy (3)
Planning economy studies for decision-making, including considerations of rate of return, cost and yield studies, depreciation and tax relationships, increment costs, replacement and introduction to multivariate alternative studies."
2991,"IE 3302 Engineering Statistics (3)
Prereq.: grade of C or better required in MATH 1552 and PHYS 2112 or CSC 2259. Probability, discrete and continuous distributions, functions of random variables, estimation theory, tests of hypotheses including goodness-of-fit and independence."
2992,"IE 3520 Supply Chain Logistics I (3)
Prereq.: IE 2400, MATH 2090; credit or registration in IE 3302. Introduction to resources and systems; Logistics resource optimization: linear programming; Logistics network and flow problems: transportation problems, shortest path and vehicle routing, maximum flow problems; project and resources management and operations sequencing and resource scheduling."
2993,"IE 3699 Engineering Practice (3)
Prereq.: consent of instructor. Pass-fail grading. A minimum of 6 weeks of full-time employment in industry on Industrial Engineering related design problems. Selected engineering problems in an industrial environment."
2994,"IE 4113 Project Management (3)
Credit will not be given for this course and ISDS 4113. Project management and theory practice. Practical approach to organizing, planning, and controlling projects in information systems, healthcare, manufacturing and services."
2995,"IE 4120 Healthcare Engineering (3)
Prereq.: Consent of instructor. Overview of the current healthcare system in the United States, applications of industrial engineering tools to the healthcare domain, and a review of current topics in industrial engineering in healthcare."
2996,"IE 4362 Advanced Engineering Statistics (3)
Prereq.: grade of C or better in IE 3302. Linear regression and correlation, curvilinear regression, analysis of variance and factorial experiments."
2997,"IE 4425 Information Systems Engineering (3)
Prereq.: credit or registration in IE 2060. 2 hrs. lecture; 3 hrs. lab. Analysis and design of information systems; projects relating comprehensive computer systems to typical industrial and service applications; ethics and professionalism."
2998,"IE 4426 Distributed Information Systems Engineering (3)
Prereq.: IE 2060 or CSC 1253 or CSC 1350 or ISDS 3107 and credit or registration in IE 4425 or CSC 4402 or ISDS 3110.
2 hrs. lecture; 3 hrs. lab. Analysis, design, and development of database-driven web and mobile applications and web services in industrial, business, and ecommerce settings."
2999,"IE 4427 Ecommerce Engineering (3)
Prereq.: IE 2060 or CSC 1253 or CSC 1350 or ISDS 3107, and credit or registration in IE 4425 or CSC 4402 or ISDS 3110. 2 hrs. lecture; 3 hrs. lab. Business processes underlying modern commerce and supply chain systems and the information technologies used to implement them."
3000,"IE 4453 Quality Control & Six Sigma (3)
Prereq.: grade of C or better in IE 3302. Principles and practice of quality assurance and control; theory of statistical sampling and control and related economic analysis; Quality Systems; Six Sigma principles and practice."
3001,"IE 4461 Human Factors Engineering (3)
Prereq.: credit or registration in IE 2400. Credit will not be given for this course and IE 7460. 2 hrs. lecture; 3 hrs. lab. Human performance in human-machine systems, including information processing, display and control design, workplace design and environmental effects on worker performance."
3002,"IE 4462 Safety Engineering (3)
Occupational safety and health and accident prevention management; design and implementation of safety programs; cost analysis; control of hazardous physical and environmental conditions."
3003,"IE 4465 Biomechanics for Engineers (3)
See BE 4323."
3004,"IE 4466 Human Computer Interaction (3)
Prereq.: IE 2060 or equivalent. Systems approach to the identification, de-sign, analysis and development of human-operated information processing systems; applications to practical problems in industry, military, health systems and education."
3005,"IE 4485 Systems Integration in Manufacturing (3)
Prereq.: IE 2060; EE 2950. 2 hrs. lecture; 3 hrs. lab. Principles and application of information technologies to monitoring, control and integration of manufacturing operations at all levels within the organization."
3006,"IE 4486 Industry 4.0 & Smart Manufacturing (3)
Prereq.: IE 2060 or ME 2543 or CSC 1253 or CSC 1350 or ISDS 3107. Introduction to and survey of industry 4.0 concepts, technologies and approaches utilized in modern smart manufacturing and supply chain systems."
3007,"IE 4516 Plant and Systems Design (3)
Prereq.: IE 3201 and credit or registration in IE 3520 and IE 4113/ISDS 4113.
Machine loading, assembly balancing techniques, design of physical-manufacturing systems, integrating materials-handling systems into the plant, design of plant service systems, site and plant location and projects involving plant design using optimization techniques; ethics and professionalism."
3008,"IE 4520 Supply Chain Logistics II (3)
Prereq.: grade of C or better in IE 3520. Production logistics: forecasting, aggregate production, inventory systems and materials requirement planning; lean supply system and supply chain management; warehousing and distribution systems; supply chain information technologies and government policies/regulations."
3009,"IE 4530 Lean Manufacturing Systems (3)
Prereq.: IE 2060 and credit or registration in IE 3520 and IE 4362. 2 hrs. lecture; 3 hrs. lab. Principles of Lean Manufacturing Systems; Queuing Theory and Analysis; Measurement and Assessment-Industrial Process Mapping, Workflow Analysis; Improvement Activities-Process and Operational Variability Reduction, Resource Reduction, Work-in-Process Reduction, Waste Reduction, Zero Inventory and Just-in-time Production Systems; Design for Lean Manufacturing; Material and Shop Floor Flow Control; Simulation Modeling and Analysis of Lean Systems."
3010,"IE 4540 Reliability Engineering (3)
Prereq.: IE 3302. Reliability in design; reliability models; reliability assessment during pre-production development and testing; and special problems in maintenance, spare parts and Markov processes."
3011,"IE 4597 Industrial Engineering Capstone Design I (2)
Prereq.: IE 4425, IE 4453, IE 4461, IE 4520, ME 3633, senior standing in College of Engineering and credit or registration in IE 4516 and IE 4530. 1 hr. lecture; 3 hrs. lab. Senior design projects."
3012,"IE 4598 Industrial Engineering Capstone Design II (2)
Prereq.: IE 4597. 6 hrs. lab. Continuation of senior design projects from IE 4597."
3013,"IE 4785 Special Topics in Industrial Engineering (1-3)
Prereq.: senior standing and consent of department. May be taken for a max. of 6 hrs. of credit when topics vary. Two sections may be taken concurrently if topics vary. Topics in industrial engineering not sufficiently covered in other undergraduate courses."
3014,"IE 7000 Master Project in Industrial Engineering (1-3)
Prereq.: consent of department. May be taken for a max. of 3 sem. hrs. of credit towards degree requirements. Special project with a formal report for students pursuing the MS Project (non-thesis) option of the industrial engineering master’s degree."
3015,"IE 7211 Project Engineering (3)
Prereq.: IE 3201 or equivalent. Large-scale engineering construction or development projects from schematic to online condition."
3016,"IE 7361 Industrial Engineering Research Methods (3)
Analyzing industrial engineering research and improvement initiatives through planned data collection using laboratory and field studies, basic approaches to data presentation and analysis, IRB, HIPAA and other regulatory policies, and practical aspects of experiment execution."
3017,"IE 7425 Advanced Information Systems Engineering (3)
Prereq.: IE 4425 or equivalent. 2 hrs. lecture; 3 hrs. lab. Advanced concepts of information systems engineering with emphasis on middleware architectures/technologies for integrating databases; design issues and methodology for developing and implementing distributed information systems; and design and implementation of data-warehouses and online analytical precessing (OLAP) systems."
3018,"IE 7428 Semantic Analysis (3)
Prereq.: IE 3302 and IE 4362 or equivalent. Automated determination of semantic content (a.k.a. meaning) of text and speech and applications to human-computer and human-machine interfaces and task automation."
3019,"IE 7429 Analytics and Data Science in Industrial Engineering (3)
Prereq.: IE 3302 or equivalent. Analytics and machine learning techniques and applications within Industrial Engineering. Topics include overview of the analytics process, data management & preparation, descriptive analytics (including business intelligence and data visualization techniques), clustering, classification, predictive analytics (regression & time series), text mining, and prescriptive methods."
3020,"IE 7455 Lean Process Improvement (3)
Philosophy and concepts of quality and process improvement, organization for quality, quality improvement (QI) tools and techniques, advanced QI techniques and quality improvement systems. Application of advanced Six Sigma and Lean tools and techniques to case studies related to the construction industry. Investigation, learning and application of current research related to the course topics."
3021,"IE 7460 Applied Occupational Ergonomics (3)
Prereq.: IE 3302 or equivalent. Credit will not be given for this course and IE 4461. Application of ergonomics principals to design and evaluation of tools, workplace, and work environment considering the physical, physiological and mental capabilities of workers."
3022,"IE 7464 Work Physiology (3)
Prereq.: IE 4461 or equivalent. Study of worker’s physiological responses (cardiovascular, pulmonary, muscular) to work applicable to task design and evaluation, employee selection and placement and work-rest scheduling."
3023,"IE 7465 Occupational Biomechanics (3)
Prereq.: IE 4461 or equivalent. 2 hrs. lecture; 3 hrs. lab. Principles of biomechanics applied to human movement; applications to work systems such as manual materials handling and tool design."
3024,"IE 7466 Human Interaction with Computers (3)
Prereq.: IE 4461 or IE 4466 or equivalent. Ergonomics of the use of interactive computer systems; general characteristics and requirements of people-oriented computer systems from the perspective of different disciplines and tasks, e.g., text editing."
3025,"IE 7467 Cognitive Ergonomics and Work Environments (3)
Prereq.: IE 3302 and IE 4461 or equivalent. Topics in cognitive ergonomics relating to information processing, visual and auditory displays and aspects of the work environment such as noise, socio-technical systems and psychosocial factors. Application to various work settings including construction, healthcare and the service sector."
3026,"IE 7541 Linear Programming Algorithms (3)
Prereq.: IE 3520 or equivalent. Optimization of linear objective functions subject to linear constraints; vector spaces, convex analysis, polyhedral sets; matrix versions of simplex, revised simplex, bounded variables; duality theory and primal-dual simplex algorithms; postoptimal and parametric analysis; decomposition and cutting plane algorithms."
3027,"IE 7561 Programming Methods in Operations Research (3)
Prereq.: IE 3520 or equivalent. Aspects of advanced programming methods for unconstrained and constrained problems; development of goal, zero-one, gert and multiple objective programming with application to industrial processes and planning."
3028,"IE 7565 Metaheuristics (3)
Prereq.: IE 3520 or equivalent. Introduction of the principles, algorithms and real world applications of metaheuristic algorithms including projection based methods such as simulated annealing, tabu search, variable neighborhood search, guided local search, iterated local search and population based methods such as particle swarm optimization, differential evolution, ant colony optimization, genetic algorithm and evolutionary programming."
3029,"IE 7722 Special Topics in Industrial Engineering (3)
May be taken for a max. of 12 sem. Hrs. when topics vary. Special topic courses in specialized areas such as design and analysis of complex production systems, supply-chain control, maintenance, quality control, reliability, ergonomics and human-computer interaction, information systems, safety and construction management."
3030,"IE 7724 Independent Study in Industrial Engineering (1-3)
Prereq.: consent of department. May be taken for a max. of 6 sem. hrs. of credit. Independent study in specialized areas such as design and analysis of complex production systems, supply-chain control, maintenance, quality control, reliability, ergonomics and human-computer interaction, information systems, safety and construction management."
3031,"IE 7730 Waiting Line Models and Applications (3)
Principles of queuing theory and analysis. "
3032,"IE 7762 Supply Chain Systems (3)
Prereq.: IE 3520 or IE 4520 or equivalent. Components in supply chain systems; product life-cycle modeling, rotational production and supply, integrated component supply systems, multi-source supplier and buyer systems, just-in-time supply chain systems, warehousing and distribution systems, supply transportation system and information technology for supply chain systems."
3033,"IE 7763 Industrial Supply and Logistics Systems (3)
Prereq.: IE 3520 and IE 4520, or equivalent. Concept of supply, logistics and distribution; large scale operational logistics, materials handling systems, warehousing and refurbishing logistics, logistics, designing logistics network and distribution systems, convoy movements, multi-modal long- and short-haul freight transportation, and industrial practices."
3034,"IE 7764 Logistics & Distribution Systems (3)
Prereq.: IE 3520 and IE 4520 or equivalent. Concept of logistics and distribution, large scale operational logistics, materials refurbishing logistics, warehousing logistics, designing logistics network and distribution systems, convoy movements, long- and short-haul freight transportation and industrial practices."
3035,"IE 7765 Lean Production Systems (3)
Prereq.: IE 3520 or IE 4520 or equivalent. Principles and components of lean production systems; industrial process mapping, workflow analysis; resource reduction; market characterization, logistics information and error propagation; reduction of work-in-process, waster reduction, zero inventory and just-in-time production systems; material flow control; process and operational variability reduction; role of buffers and process stabilization."
3036,"IE 7768 Sequencing and Scheduling (3)
Prereq.: IE 3520 or IE 4520 or equivalent. Measures of scheduling; deterministic models for single and parallel machines, job shops, flow shops, and open shops; stochastic scheduling models for machines, job shops, flow shops and open shops; computational complexity and industrial applications."
3037,"IE 7771 Design of Manufacturing Systems (3)
Prereq.: IE 3520 or IE 4520 or equivalent. Principles in modeling, analysis, design and operations; mass production, cellular manufacturing, machine location and layout, job routing and loading strategy; material handling and storage/retrieval systems."
3038,"IE 7850 Quality Management (3)
Prereq.: IE 3302 or equivalent. Philosophy and concepts of quality management, organization for quality, quality cost, quality audits and corrective actions, tools and techniques for improvement."
3039,"IE 7901 Seminar (1)
Pass/Fail grading. All graduate students are expected to attend this course every semester; only 1 sem. hr. of credit in this course allowed toward degree."
3040,"IE 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
3041,"IE 9000 Dissertation Research (1-12)
“S”/”U”grading."
3042,"INTL 1990 Introduction to Study Abroad (1)
Principal themes of study abroad including development of skills and perceptives to transact, communicate, and engage across cultures."
3043,"INTL 2000 Contemporary Global Issues (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. An honors course, INTL 2001, is also available. Credit will not be given for this course and INTL 2001. Survey of current world issues from an interdisciplinary perspective."
3044,"INTL 2001 HONORS: Contemporary Global Issues (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Same as INTL 2000, with special honors emphasis for qualified students. Credit will not be given for this course and INTL 2000. Survey of world issues from an interdisciplinary perspective."
3045,"INTL 3001 Gateway to International Studies (3)
Prereq.: INTL 2000 or INTL 2001. Required for all international studies majors. Modernity, colonialism and globalization in regional perspective."
3046,"INTL 3002 Independent Study in International Studies (3)
Prereq.: permission of instructor. May be taken for a max. of 6 hrs. of credit when topics vary. Independent study relevant to the field of international studies."
3047,"INTL 3092 Fundamentalisms and Religious Nationalism (3)
See REL 3092."
3048,"INTL 3099 Undergraduate Internship in International Studies (3)
May be taken for a max. of 6 hrs. of credit when topics vary. Open to undergraduate students approved by the International Studies Program. May be counted toward the total number of hours required for a major in International Studies but not toward fulfilling field requirements. Program of study, research and work in governmental or private agencies concerned with international policy."
3049,"INTL 3786 Religion of Islam (3)
See REL 3786."
3050,"INTL 3991 Study Abroad in Africa (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of Africa."
3051,"INTL 3992 Study Abroad in the Middle East (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of the Middle East."
3052,"INTL 3993 Study Abroad in Asia (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of Asia."
3053,"INTL 3994 Study Abroad in Europe (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of Europe."
3054,"INTL 3995 Study Abroad in Latin America (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of Latin America."
3055,"INTL 3996 Study Abroad in Russia and Central Asia (1-6)
May be repeated for up to 12 hours credit when topics vary. Studies in the history, culture, economics, politics or geography of Russia and/or Central Asia."
3056,"INTL 4002 South Asian Society, Polity and Culture (3)
Cross-listed with ANTH 4002, GEOG 4002, and REL 4001. Historical anthropology of South Asia examining the four major cultural traditions (Hindu/Buddhist, Islamic, British and nationalist) which currently shape the politics of nationalism, development, ethnicity, caste and gender in the region."
3057,"INTL 4003 International Studies Senior Seminar (3)
Prereq.: INTL 3001 and 9 hrs. of additional upper level courses in an area of concentration. Required for all international studies majors, seniors only. Advanced theory and case studies of globalization in an interdisciplinary perspective."
3058,"INTL 4033 Geography of Central Asia and Afghanistan (3)
See GEOG 4033."
